timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1774262642100,54,TG_5rps,500,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-1,,false,,360,0,1,1,null,0,0,0
1774262642100,53,kafka_gen_msg,500,"javax.script.ScriptException: org.codehaus.groovy.control.MultipleCompilationErrorsException: startup failed:
Script5.groovy: 21: unable to resolve class KafkaProducer <String, String>
 @ line 21, column 16.
       producer = new KafkaProducer<String, String>(kafkaProps)
                  ^

Script5.groovy: 33: unable to resolve class ProducerRecord <String, String>
 @ line 33, column 15.
   producer.send(new ProducerRecord<String, String>(vars.get(""topic""), msgUuid, json))
                 ^

2 errors
",Thread Group 1-1,text,false,,0,0,1,1,null,0,0,0
1774262642153,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,360,0,1,1,null,0,0,0
